ID,URL
269,http://images.costco-static.com/image/media/350-898152-847__1.jpg
270,http://images.costco-static.com/image/media/350-898164-847__1.jpg
271,http://images.costco-static.com/image/media/350-899485-847__1.jpg
272,http://images.costco-static.com/image/media/350-899853-847__1.jpg
273,http://images.costco-static.com/image/media/350-900691-847__1.jpg
274,http://images.costco-static.com/image/media/350-900715-847__1.jpg
275,http://images.costco-static.com/image/media/350-903991-847__1.jpg
276,http://images.costco-static.com/image/media/350-905482-847__1.jpg
277,http://images.costco-static.com/image/media/350-905487-847__1.jpg
278,http://images.costco-static.com/image/media/350-905491-847__1.jpg
279,http://images.costco-static.com/image/media/350-906084-847__1.jpg
280,http://images.costco-static.com/image/media/350-908698-847__1.jpg
281,http://images.costco-static.com/image/media/350-909094-847__1.jpg
282,http://images.costco-static.com/image/media/350-909098-847__1.jpg
283,http://images.costco-static.com/image/media/350-909098-847__1.jpg
284,http://images.costco-static.com/image/media/350-909098-847__1.jpg
285,http://images.costco-static.com/image/media/350-909130-847__1.jpg
286,http://images.costco-static.com/image/media/350-910531-847__1.jpg
287,http://images.costco-static.com/image/media/350-910565-847__1.jpg
288,http://images.costco-static.com/image/media/350-910565-847__1.jpg
289,http://images.costco-static.com/image/media/350-910734-847__1.jpg
290,http://images.costco-static.com/image/media/350-912063-847__1.jpg
291,http://images.costco-static.com/image/media/350-914651-847__1.jpg
292,http://images.costco-static.com/image/media/350-914655-847__1.jpg
293,http://images.costco-static.com/image/media/350-914742-847__1.jpg
294,http://images.costco-static.com/image/media/350-914742-847__1.jpg
295,http://images.costco-static.com/image/media/350-916990-847__1.jpg
296,http://images.costco-static.com/image/media/350-917137-847__1.jpg
297,http://images.costco-static.com/image/media/350-917167-847__1.jpg
298,http://images.costco-static.com/image/media/350-917682-847__1.jpg
299,http://images.costco-static.com/image/media/350-918282-847__1.jpg
300,http://images.costco-static.com/image/media/350-918282-847__1.jpg
301,http://images.costco-static.com/image/media/350-918553-847__1.jpg
302,http://images.costco-static.com/image/media/350-918560-847__1.jpg
303,http://images.costco-static.com/image/media/350-918570-847__1.jpg
304,http://images.costco-static.com/image/media/350-918574-847__1.jpg
305,http://images.costco-static.com/image/media/350-918576-847__1.jpg
306,http://images.costco-static.com/image/media/350-920295-847__1.jpg
307,http://images.costco-static.com/image/media/350-920321-847__1.jpg
308,http://images.costco-static.com/image/media/350-920443-847__1.jpg
309,http://images.costco-static.com/image/media/350-920560-847__1.jpg
310,http://images.costco-static.com/image/media/350-921971-847__1.jpg
311,http://images.costco-static.com/image/media/350-924251-847__1.jpg
312,http://images.costco-static.com/image/media/350-924291-847__1.jpg
313,http://images.costco-static.com/image/media/350-936756-847__1.jpg
314,http://images.costco-static.com/image/media/350-937175-847__1.jpg
315,http://images.costco-static.com/image/media/350-945580-847__1.jpg
316,http://images.costco-static.com/image/media/350-947090-847__1.jpg
317,http://images.costco-static.com/image/media/350-950379-847__1.jpg
